title,review
귀향,아진짜  얼마나 울었는지 시대를 잘못 태어난죄로절대 잊지말자
귀향,우리가 잊으면 안 되는 역사 중 하나
귀향,우리는 이것을 알아야만 한다 살아있다면 이것을 기억해야만 한다
귀향,하 티비서 보고나니 가슴이 먹먹 하네요
귀향,잊지맙시다 아픈역사를
귀향,잊지말아야할 잊어서는 안돼는 우리나라의 아픈역사 과거를 알아야지 미래가 발전하는법입니다 역사를 잊고살아가는 국가는 미래가없는법입니다
귀향,잊지말아야할 
귀향,
귀향, 일본
귀향,
귀향,
귀향,
귀향,미국 교포로서 주인공역 강하나 배우는 일본 교포라는 것을 알고 영화에 더 영감을 받았습니다
귀향,년현재 위안부 할머님들 생존자 숫자는
귀향,친일매국노들 대대손손 망하기를 바랍니다
귀향,
귀향,보는 내내 이리도 마음이 무거운 영화는 없었다   반드시 기억해야할 역사이고 사죄를 받아내야 할 역사인데 한풀이의 정서로만 다가가는 건 문제가 아닐까
귀향,
귀향,지금에서야 회자 되는 역사에 희생된 분들 근데 영화 전체적으로 뭔가 살짝 모자란 느낌이 아쉽다
귀향,
귀향,
귀향,
귀향,
귀향,
귀향,
귀향,
귀향,
귀향,극장에서 봤는데 많은 분들이 영화가 끝나고 엔딩크레딧이 다 끝날 때까지 자리를 지키고 계시더군요 귀향 영화 개봉전 한참 이슈될 때 정부는 몰래 뒤에서 일본이랑 위안부 협상하고 있었던 고작 억에 나라 팔아먹던 놈들
귀향,실화라서 더욱 여운이 남는다
귀향,지켜주지 못해 미안합니다
귀향,
귀향,의미와 작품성은 별개 완성도가 높았으면 좋았었을 것 같다 
귀향,
귀향,
귀향,
귀향,
귀향,
귀향,
귀향,
귀향,
귀향,
귀향,
귀향,
귀향,
귀향,
귀향,
귀향,
귀향,
귀향,
귀향,
귀향,
귀향,
귀향,
귀향,
귀향,초반엔 지루하다 일본인들의 잔학성보다는 고향에 돌아오고 싶어하는 간절함을 그렸다 못판에 굴리고 동료 인육을 먹게하고 그런 장면은 전혀 없다 실재는 영화보다 백배 잔악했다 한다 
귀향,
귀향,마지막엔 울면서 봤어요 한번 쯤 보면 좋을 영화
귀향,
귀향,일본인 좋은 분들도 참 많지만 인정할건 인정하고 받아들였으면
귀향,
귀향,가슴아프고 슬프고   잊지 말아야 합니다
귀향,세계인이 모두 알아야 할 역사 슬프고 아프지만 아름다운 영화
귀향,
귀향,영화보고 얼마나 울었는지 집에 돌아와서도 잠 못자고 계속 울었던 
귀향,잊지말아야합니다
귀향,알아야재
귀향,
귀향,
귀향,
귀향,
귀향,
귀향,영화를 통해 역사를 배우고 느낀다 잘 만든 영화
귀향,눈물범벅 시대의 아픔 이시대에 살아가는게 이렇게 행복하구나
귀향,
귀향,
귀향,
귀향,
